distance,time_different,WeekDay,Hour,v,s0,s1,s2,s3,s4
2.2331750565257504,164022,2,21,40.586625370023945,-1,-63000,39999,85085,164022
2.2331750565257504,162012,2,21,40.586625370023945,-1,-65010,37989,83075,162012
2.2331750565257504,160393,2,21,40.586625370023945,-1,-66629,36370,81456,160393
2.2331750565257504,159930,2,21,40.586625370023945,-1,-67092,35907,80993,159930
2.2331750565257504,159020,2,21,40.586625370023945,-1,-68002,34997,80083,159020
2.2331750565257504,158021,2,21,40.586625370023945,-1,-69001,33998,79084,158021
2.2331750565257504,157012,2,21,40.586625370023945,-1,-70010,32989,78075,157012
2.2331750565257504,156021,2,21,40.586625370023945,-1,-71001,31998,77084,156021
2.2331750565257504,155011,2,21,40.586625370023945,-1,-72011,30988,76074,155011
2.001533616281579,154003,2,21,40.586625370023945,-1,-73019,29980,75066,154003
2.001533616281579,153020,2,21,40.586625370023945,-1,-74002,28997,74083,153020
2.001533616281579,151003,2,21,40.586625370023945,-1,-76019,26980,72066,151003
2.001533616281579,150012,2,21,40.586625370023945,-1,-77010,25989,71075,150012
2.001533616281579,149012,2,21,40.586625370023945,-1,-78010,24989,70075,149012
2.001533616281579,148012,2,21,40.586625370023945,-1,-79010,23989,69075,148012
2.001533616281579,147020,2,21,40.586625370023945,-1,-80002,22997,68083,147020
2.001533616281579,146012,2,21,40.586625370023945,-1,-81010,21989,67075,146012
2.001533616281579,143954,2,21,40.586625370023945,-1,-83068,19931,65017,143954
2.001533616281579,142012,2,21,40.586625370023945,-1,-85010,17989,63075,142012
2.001533616281579,141012,2,21,40.586625370023945,-1,-86010,16989,62075,141012
2.001533616281579,140228,2,21,40.586625370023945,-1,-86794,16205,61291,140228
2.001533616281579,139982,2,21,40.586625370023945,-1,-87040,15959,61045,139982
2.001533616281579,138994,2,21,40.586625370023945,-1,-88028,14971,60057,138994
2.001533616281579,138012,2,21,40.586625370023945,-1,-89010,13989,59075,138012
2.001533616281579,137020,2,21,40.586625370023945,-1,-90002,12997,58083,137020
2.001533616281579,136012,2,21,40.586625370023945,-1,-91010,11989,57075,136012
